COM@GC,금
COM@SI,은
COM@HG,동
NYM@PA,팔라듐
NYM@PL,백금
COM@HG,구리
LME@CA\C,전기동
LME@NA\C,알루미늄
LME@AA\C,알루미늄합금
LME@NI\C,니켈
LME@PB\C,납
LME@SN\C,주석
LME@ZS\C,아연
NYM@HR,강철
NYM@CL,WTI
NYM@BZ,브렌트유
NYM@DC,두바이유
NYM@HO,난방유
IPE@EP,가스오일
NYM@NG,천연가스
NYM@RB,가솔린
IPE@CN,석탄
DCBT$ZS,대두
DCBT$ZM,대두박
DCBT$ZL,대두유
DCBT$ZW,소맥
DCBT$ZC,옥수수
DCBT$ZR,쌀
DCBT$ZO,귀리
NYB@KC,커피
NYB@SB,설탕
NYB@CT,면화
NYB@OJ,오렌지쥬스
NYB@CC,코코아
N-04G-MLC-SB,NAND(4GB 512Mx8)
D4-4G-512-2400S,DRAM( 4GB 512Mx8 2133/2400)
